depth,shadow_length,model_id,reference_datetime
0,6,RW,2021-02-22 00:00:00
1,5,RW,2021-02-22 00:00:00
1.5,3,RW,2021-02-22 00:00:00
2,3,RW,2021-02-22 00:00:00
3,6,RW,2021-02-22 00:00:00
4,6,RW,2021-02-22 00:00:00
5,5,RW,2021-02-22 00:00:00
6,3,RW,2021-02-22 00:00:00
7,8,RW,2021-02-22 00:00:00
8,5,RW,2021-02-22 00:00:00
9,9,RW,2021-02-22 00:00:00
0,2,climatology,2021-02-22 00:00:00
1,2,climatology,2021-02-22 00:00:00
1.5,2,climatology,2021-02-22 00:00:00
2,3,climatology,2021-02-22 00:00:00
3,2,climatology,2021-02-22 00:00:00
4,3,climatology,2021-02-22 00:00:00
5,3,climatology,2021-02-22 00:00:00
6,2,climatology,2021-02-22 00:00:00
7,3,climatology,2021-02-22 00:00:00
8,4,climatology,2021-02-22 00:00:00
9,2,climatology,2021-02-22 00:00:00
0,6,empirical,2021-02-22 00:00:00
1,5,empirical,2021-02-22 00:00:00
1.5,3,empirical,2021-02-22 00:00:00
2,3,empirical,2021-02-22 00:00:00
3,6,empirical,2021-02-22 00:00:00
4,6,empirical,2021-02-22 00:00:00
5,5,empirical,2021-02-22 00:00:00
6,3,empirical,2021-02-22 00:00:00
7,8,empirical,2021-02-22 00:00:00
8,5,empirical,2021-02-22 00:00:00
9,9,empirical,2021-02-22 00:00:00
0,3,empirical_ler,2021-02-22 00:00:00
1,5,empirical_ler,2021-02-22 00:00:00
1.5,3,empirical_ler,2021-02-22 00:00:00
2,3,empirical_ler,2021-02-22 00:00:00
3,3,empirical_ler,2021-02-22 00:00:00
4,3,empirical_ler,2021-02-22 00:00:00
5,3,empirical_ler,2021-02-22 00:00:00
6,3,empirical_ler,2021-02-22 00:00:00
7,3,empirical_ler,2021-02-22 00:00:00
8,4,empirical_ler,2021-02-22 00:00:00
9,9,empirical_ler,2021-02-22 00:00:00
0,5,GLM,2021-03-01 00:00:00
1,4,GLM,2021-03-01 00:00:00
1.5,5,GLM,2021-03-01 00:00:00
2,6,GLM,2021-03-01 00:00:00
3,5,GLM,2021-03-01 00:00:00
4,5,GLM,2021-03-01 00:00:00
5,3,GLM,2021-03-01 00:00:00
6,5,GLM,2021-03-01 00:00:00
7,4,GLM,2021-03-01 00:00:00
8,4,GLM,2021-03-01 00:00:00
9,6,GLM,2021-03-01 00:00:00
0,4,GOTM,2021-03-01 00:00:00
1,4,GOTM,2021-03-01 00:00:00
1.5,4,GOTM,2021-03-01 00:00:00
2,5,GOTM,2021-03-01 00:00:00
3,4,GOTM,2021-03-01 00:00:00
4,7,GOTM,2021-03-01 00:00:00
5,4,GOTM,2021-03-01 00:00:00
6,5,GOTM,2021-03-01 00:00:00
7,3,GOTM,2021-03-01 00:00:00
8,3,GOTM,2021-03-01 00:00:00
9,4,GOTM,2021-03-01 00:00:00
0,6,RW,2021-03-01 00:00:00
1,5,RW,2021-03-01 00:00:00
